Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,DIS,NFLX,PSKY,WBD,DIS,NFLX,PSKY,WBD,DIS,NFLX,PSKY,WBD,DIS,NFLX,PSKY,WBD,DIS,NFLX,PSKY,WBD
Date,,,,,,,,,,,,,,,,,,,,
2010-01-04,27.291229248046875,0.7639999985694885,10.73509693145752,15.840572357177734,27.869902288080894,0.7961429953575134,10.848097664412196,15.968318939208984,27.1210323453585,0.7565709948539734,10.531694750009736,15.682167053222656,27.657154942370354,0.7931429743766785,10.704963354773529,15.69749641418457,13700400,172396000,6710900,2844108
2010-01-05,27.2231502532959,0.7358570098876953,10.68235969543457,16.46397590637207,27.367818513787732,0.7657139897346497,10.83302752728283,16.53551483154297,26.976364175476558,0.7258570194244385,10.584425425122978,15.840572357177734,27.29122933922538,0.7652860283851624,10.68235969543457,15.896780967712402,10307700,237531000,5441000,3193041
2010-01-06,27.07848358154297,0.761713981628418,10.34335708618164,16.70924949645996,27.231661939654895,0.7672860026359558,10.72756063004425,16.760347366333008,26.959345579959713,0.7197139859199524,10.298157091868955,16.40265655517578,27.146562671466768,0.7361429929733276,10.55429278777736,16.607051849365234,10709500,232904000,14566200,3873099
2010-01-07,27.086992263793945,0.74857097864151,10.546757698059082,16.69902992248535,27.11252252986442,0.7757139801979065,10.735092656952995,16.852325439453125,26.840206184313175,0.7462859749794006,10.237888480423603,16.62238121032715,27.03593335478645,0.7731429934501648,10.381022733069,16.678590774536133,8202100,99554000,9000300,2506526
2010-01-08,27.129539489746094,0.7614290118217468,10.659757614135742,16.7501277923584,27.180600018886288,0.7742859721183777,10.885759692131577,16.842105865478516,26.83169451876176,0.7465710043907166,10.456356246848049,16.586612701416016,26.942322418965464,0.7498570084571838,10.539223364122176,16.653039932250977,7657500,81809000,6732900,2448598
2010-01-11,26.687023162841797,0.7604290246963501,10.614562034606934,16.693918228149414,27.010398360796714,0.7704290151596069,10.712496332995546,16.842105865478516,26.457255677826552,0.7528570294380188,10.43376058455462,16.61216163635254,26.831691398984745,0.765999972820282,10.644695609615653,16.78589630126953,11250500,67837000,5991400,2361512
2010-01-12,26.227489471435547,0.7481430172920227,10.215290069580078,16.249361038208008,26.48278723049853,0.7582859992980957,10.49402576572575,16.683700561523438,26.108351491086104,0.7451429963111877,10.087222220210315,16.234031677246094,26.397687977477535,0.7528570294380188,10.463892196370567,16.65814971923828,14618300,63301000,8138900,2803598
2010-01-13,26.627458572387695,0.7708569765090942,10.539228439331055,16.34644889831543,26.695537658100346,0.7754290103912354,10.591962737937008,16.40265655517578,26.270042966612912,0.755856990814209,10.170091941295107,15.988758087158203,26.287061520690997,0.7612860202789307,10.313226252502933,16.223812103271484,9620600,144221000,7031200,2359164
2010-01-14,26.39769172668457,0.7284290194511414,10.381023406982422,16.213592529296875,26.533849901603112,0.7575709819793701,10.591959091914504,16.48441505432129,26.34663119374001,0.7269999980926514,10.358423411611449,16.17782211303711,26.491299457482647,0.7518569827079773,10.501557673548811,16.22892189025879,9235600,176855000,6850300,1634291
