Price,Close,High,Low,Open,Volume
Ticker,PSKY,PSKY,PSKY,PSKY,PSKY
Date,,,,,
2010-01-04,10.735095977783203,10.848096700699228,10.531693814405068,10.704962403776191,6710900
2010-01-05,10.682356834411621,10.833024625906987,10.584422590329458,10.682356834411621,5441000
2010-01-06,10.343358039855957,10.727561619142756,10.298158041375759,10.554293760900292,14566200
2010-01-07,10.546756744384766,10.73509168624878,10.23788755467831,10.381021794381013,9000300
2010-01-08,10.659762382507324,10.885764561599444,10.456360924233202,10.539228078575826,6732900
2010-01-11,10.6145601272583,10.712494408048933,10.433758709694505,10.644693696852267,5991400
2010-01-12,10.215290069580078,10.49402576572575,10.087222220210315,10.463892196370567,8138900
2010-01-13,10.539225578308105,10.591959862598587,10.170089180479494,10.313223452831481,7031200
2010-01-14,10.381025314331055,10.591961038019226,10.35842531480769,10.501559603043706,6850300
2010-01-15,9.989286422729492,10.448823465198268,9.838618598841439,10.365956341670053,14344500
2010-01-19,10.11735725402832,10.222824402817087,9.913955092608154,9.996822959160548,6186200
2010-01-20,10.215290069580078,10.388557913762131,10.02695508149995,10.313223631153695,10145000
2010-01-21,9.944089889526367,10.486495001592505,9.92902346003514,10.23035923427124,10630600
2010-01-22,10.019420623779297,10.328289861974419,9.861219219040223,9.891352785731431,15336100
2010-01-25,10.034486770629883,10.207755313147228,9.891352512411972,10.207755313147228,6425300
2010-01-26,10.011889457702637,10.139957326516889,9.87628801579553,9.936555163656228,10398100
2010-01-27,10.019420623779297,10.139954890544136,9.72561780970933,9.966686343239006,7602300
2010-01-28,9.921485900878906,10.139954429057525,9.605083105800787,10.117354434677907,10561500
2010-01-29,9.740686416625977,10.10228927128148,9.680419274183393,9.996822131227463,9468900
2010-02-01,10.011889457702637,10.011889457702637,9.665352998283089,9.793420867097339,9059600
2010-02-02,9.906418800354004,10.079687340496715,9.72561740768055,10.019420209605563,19341800
2010-02-03,10.35842514038086,10.433759428778218,10.01188870694684,10.04202227861758,15527900
2010-02-04,9.831087112426758,10.222823537591768,9.763286397691793,10.072155681759071,16819400
2010-02-05,9.755752563476562,9.898887561507092,9.356482576624801,9.80848685043354,12835900
2010-02-08,9.58248519897461,9.785886629584098,9.401683049227145,9.75575305769969,13207000
2010-02-09,9.816020011901855,9.944087869547596,9.57495144148211,9.778352868163518,9556200
2010-02-10,9.544818878173828,9.831088194999658,9.288683135832764,9.800954620514892,8884700
