Date,AMZN,CMCSA,DIS,GOOGL,MSFT,NFLX,ORCL,PSKY,SPY,WBD
2010-01-04,6.695000171661377,6.0231614112854,27.291229248046875,15.566815376281738,23.13005828857422,0.7639999985694885,20.069948196411133,10.735093116760254,85.02796173095703,15.840572357177734
2010-01-05,6.734499931335449,5.941527843475342,27.223148345947266,15.49826431274414,23.13752174377441,0.7358570098876953,20.04572296142578,10.682360649108888,85.25301361083984,16.46397590637207
2010-01-06,6.612500190734863,5.898936748504639,27.07847785949707,15.107573509216309,22.99553680419922,0.761713981628418,19.754966735839844,10.343355178833008,85.31305694580078,16.70924949645996
2010-01-07,6.5,6.0231614112854,27.08698844909668,14.755876541137695,22.75638008117676,0.74857097864151,19.690353393554688,10.54676342010498,85.67321014404297,16.69902992248535
2010-01-08,6.676000118255615,6.005414962768555,27.129539489746094,14.952588081359863,22.9133243560791,0.7614290118217468,19.93264579772949,10.659759521484377,85.9582748413086,16.7501277923584
2010-01-11,6.515500068664551,5.966373920440674,26.68702507019043,14.929987907409668,22.62186813354492,0.7604290246963501,19.94072532653809,10.614562034606934,86.07833099365234,16.693918228149414
2010-01-12,6.367499828338623,5.859894752502441,26.227489471435547,14.66596508026123,22.472394943237305,0.7481430172920227,19.83573532104492,10.215290069580078,85.27555847167969,16.249361038208008
2010-01-13,6.45550012588501,5.952177047729492,26.627460479736328,14.581767082214355,22.6816520690918,0.7708569765090942,20.02955818176269,10.539226531982422,85.99579620361328,16.34644889831543
2010-01-14,6.367499828338623,5.91668176651001,26.397686004638672,14.650318145751951,23.13752174377441,0.7284290194511414,20.50703430175781,10.381027221679688,86.22837829589844,16.213592529296875
2010-01-15,6.35699987411499,5.902485370635986,26.04027366638184,14.405669212341309,23.062793731689453,0.7278569936752319,20.426109313964844,9.989286422729492,85.2605209350586,16.5712833404541
2010-01-19,6.380499839782715,5.966373920440674,26.38918113708496,14.594929695129396,23.242164611816406,0.7314289808273315,20.498937606811523,10.117355346679688,86.325927734375,16.555952072143555
2010-01-20,6.289000034332275,5.863443851470947,26.5423583984375,14.415852546691896,22.86100959777832,0.7319999933242798,20.280445098876957,10.215290069580078,85.44808959960938,16.428205490112305
2010-01-21,6.330999851226807,5.678880214691162,26.04878234863281,14.47968578338623,22.42755889892578,0.7312859892845154,20.094301223754883,9.944083213806152,83.80500030517578,16.254470825195312
2010-01-22,6.071499824523926,5.625641345977783,25.51266098022461,13.660797119140623,21.64285659790039,0.7269999980926514,19.54399681091309,10.019421577453612,81.93685150146484,15.784363746643066
2010-01-25,6.015500068664551,5.682428359985352,25.46160125732422,13.412175178527832,21.91189956665039,0.7018569707870483,19.446882247924805,10.034490585327148,82.35700988769531,15.753705024719238
2010-01-26,5.973999977111816,5.572400569915772,25.240346908569336,13.472280502319336,22.04641342163086,0.7135710120201111,19.32549095153809,10.011886596679688,82.01189422607422,15.743485450744627
2010-01-27,6.137499809265137,5.625641345977783,24.95100975036621,13.464332580566406,22.173471450805664,0.7281429767608643,19.309314727783203,10.019421577453612,82.40200805664062,15.436893463134766
2010-01-28,6.301499843597412,5.544007301330566,24.976539611816406,13.27035427093506,21.79232215881348,0.9005709886550903,18.99368667602539,9.92148780822754,81.45671081542969,15.467552185058594
2010-01-29,6.270500183105469,5.618542194366455,25.14673614501953,13.162310600280762,21.059934616088867,0.8892859816551208,18.661890029907227,9.740687370300291,80.57135009765625,15.155851364135742
2010-02-01,5.94350004196167,5.6575846672058105,25.12120819091797,13.238810539245604,21.231821060180664,0.8718569874763489,18.79137420654297,10.011886596679688,81.82431030273438,15.222278594970703
2010-02-02,5.906000137329102,5.781810760498047,25.51266098022461,13.19161891937256,21.269184112548828,0.8835710287094116,19.22838592529297,9.90642261505127,82.81465148925781,15.07920265197754
2010-02-03,5.954999923706055,5.66823148727417,26.16792297363281,13.432540893554688,21.39623260498047,0.8849999904632568,19.220287322998047,10.358424186706545,82.40200805664062,14.997445106506348
2010-02-04,5.796999931335449,5.5085129737854,25.24885368347168,13.083824157714844,20.80584144592285,0.8619999885559082,18.70235061645508,9.831088066101074,79.85859680175781,14.624424934387209
2010-02-05,5.869500160217285,5.473019599914551,25.138229370117188,13.195841789245604,20.940359115600582,0.869143009185791,19.058429718017575,9.755749702453612,80.02367401123047,14.542667388916016
2010-02-08,5.84149980545044,5.3984856605529785,25.0871639251709,13.24998664855957,20.716157913208008,0.8700000047683716,18.71044540405273,9.58248519897461,79.44593811035156,14.568217277526855
2010-02-09,5.901500225067139,5.462371826171875,25.39352226257324,13.323753356933594,20.932886123657227,0.8875709772109985,19.02606010437012,9.816017150878906,80.44380950927734,14.956565856933594
2010-02-10,5.868000030517578,5.433978080749512,25.555213928222656,13.274328231811523,20.917940139770508,0.8784289956092834,18.70235061645508,9.54482078552246,80.28626251220703,14.246294975280762
2010-02-11,6.004499912261963,5.441076278686523,25.66583824157715,13.322759628295898,21.01509475708008,0.9051430225372314,18.896581649780277,9.612614631652832,81.12655639648438,14.312724113464355
2010-02-12,5.982999801635742,5.444625854492188,25.58924865722656,13.241292953491213,20.87309455871582,0.9025710225105286,18.94513511657715,9.725616455078123,81.05904388427734,14.660194396972656
2010-02-16,5.876500129699707,5.561753749847412,25.92964744567871,13.444464683532717,21.286056518554688,0.926571011543274,19.268848419189453,9.996821403503418,82.33451080322266,14.787940979003906
2010-02-17,5.815499782562256,5.5582051277160645,26.261531829833984,13.367714881896973,21.46626091003418,0.9215710163116456,19.568269729614254,10.185157775878906,82.72461700439453,16.034746170043945
